dataset_id	study_id	quant_method	qtl_group	study_name	credible_sets_file	sample_meta	vcf_file	coverage_path	usage_matrix_norm	tpm_matrix	exon_summ_stats_files	all_summ_stats_files	pheno_meta	scaling_factors
QTD000120	QTS000015	leafcutter	adipose_subcutaneous	GTEx	/gpfs/helios/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r8/susie/QTS000015/QTD000120/QTD000120.credible_sets.parquet	/gpfs/helios/home/kerimov/alasoo_lab/SampleArcheology/studies/GTEx/v10_metadata/GTExV10_metadata_adipose_subcutaneous.tsv	/gpfs/helios/projects/GTEx/genotypes/GTEx_v10/GTEx_v9.MAF001.vcf.gz	/gpfs/helios/projects/eQTLCatalogue/coverage_parquet/GTEx_v10/adipose_subcutaneous.parquet	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/adipose_subcutaneous/QTS000015/normalised/leafcutter/qtl_group_split_norm/GTEx.adipose_subcutaneous.tsv.gz	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/adipose_subcutaneous/QTS000015/normalised/leafcutter/per_million_normalised/GTEx.adipose_subcutaneous.leafcutter_CPM_norm.tsv.gz	/gpfs/helios/home/kerimov/alasoo_lab/eqtl_plot_data_generator/input/GTEx_V10_all/sumstats_files/QTD000117_sumstats.tsv	/gpfs/helios/home/kerimov/alasoo_lab/eqtl_plot_data_generator/input/GTEx_V10_all/sumstats_files/QTD000120_sumstats.tsv	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/adipose_subcutaneous/QTS000015/normalised/leafcutter/leafcutter_metadata.txt.gz	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/adipose_subcutaneous/QTS000015/normalised/ge/per_million_normalised/GTEx.adipose_subcutaneous.scaling_factors.tsv.gz
QTD000125	QTS000015	leafcutter	adipose_visceral	GTEx	/gpfs/helios/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r8/susie/QTS000015/QTD000125/QTD000125.credible_sets.parquet	/gpfs/helios/home/kerimov/alasoo_lab/SampleArcheology/studies/GTEx/v10_metadata/GTExV10_metadata_adipose_visceral.tsv	/gpfs/helios/projects/GTEx/genotypes/GTEx_v10/GTEx_v9.MAF001.vcf.gz	/gpfs/helios/projects/eQTLCatalogue/coverage_parquet/GTEx_v10/adipose_visceral.parquet	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/adipose_visceral/QTS000015/normalised/leafcutter/qtl_group_split_norm/GTEx.adipose_visceral.tsv.gz	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/adipose_visceral/QTS000015/normalised/leafcutter/per_million_normalised/GTEx.adipose_visceral.leafcutter_CPM_norm.tsv.gz	/gpfs/helios/home/kerimov/alasoo_lab/eqtl_plot_data_generator/input/GTEx_V10_all/sumstats_files/QTD000122_sumstats.tsv	/gpfs/helios/home/kerimov/alasoo_lab/eqtl_plot_data_generator/input/GTEx_V10_all/sumstats_files/QTD000125_sumstats.tsv	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/adipose_visceral/QTS000015/normalised/leafcutter/leafcutter_metadata.txt.gz	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/adipose_visceral/QTS000015/normalised/ge/per_million_normalised/GTEx.adipose_visceral.scaling_factors.tsv.gz
QTD000135	QTS000015	leafcutter	artery_aorta	GTEx	/gpfs/helios/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r8/susie/QTS000015/QTD000135/QTD000135.credible_sets.parquet	/gpfs/helios/home/kerimov/alasoo_lab/SampleArcheology/studies/GTEx/v10_metadata/GTExV10_metadata_artery_aorta.tsv	/gpfs/helios/projects/GTEx/genotypes/GTEx_v10/GTEx_v9.MAF001.vcf.gz	/gpfs/helios/projects/eQTLCatalogue/coverage_parquet/GTEx_v10/artery_aorta.parquet	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/artery_aorta/QTS000015/normalised/leafcutter/qtl_group_split_norm/GTEx.artery_aorta.tsv.gz	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/artery_aorta/QTS000015/normalised/leafcutter/per_million_normalised/GTEx.artery_aorta.leafcutter_CPM_norm.tsv.gz	/gpfs/helios/home/kerimov/alasoo_lab/eqtl_plot_data_generator/input/GTEx_V10_all/sumstats_files/QTD000132_sumstats.tsv	/gpfs/helios/home/kerimov/alasoo_lab/eqtl_plot_data_generator/input/GTEx_V10_all/sumstats_files/QTD000135_sumstats.tsv	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/artery_aorta/QTS000015/normalised/leafcutter/leafcutter_metadata.txt.gz	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/artery_aorta/QTS000015/normalised/ge/per_million_normalised/GTEx.artery_aorta.scaling_factors.tsv.gz
QTD000140	QTS000015	leafcutter	artery_coronary	GTEx	/gpfs/helios/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r8/susie/QTS000015/QTD000140/QTD000140.credible_sets.parquet	/gpfs/helios/home/kerimov/alasoo_lab/SampleArcheology/studies/GTEx/v10_metadata/GTExV10_metadata_artery_coronary.tsv	/gpfs/helios/projects/GTEx/genotypes/GTEx_v10/GTEx_v9.MAF001.vcf.gz	/gpfs/helios/projects/eQTLCatalogue/coverage_parquet/GTEx_v10/artery_coronary.parquet	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/artery_coronary/QTS000015/normalised/leafcutter/qtl_group_split_norm/GTEx.artery_coronary.tsv.gz	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/artery_coronary/QTS000015/normalised/leafcutter/per_million_normalised/GTEx.artery_coronary.leafcutter_CPM_norm.tsv.gz	/gpfs/helios/home/kerimov/alasoo_lab/eqtl_plot_data_generator/input/GTEx_V10_all/sumstats_files/QTD000137_sumstats.tsv	/gpfs/helios/home/kerimov/alasoo_lab/eqtl_plot_data_generator/input/GTEx_V10_all/sumstats_files/QTD000140_sumstats.tsv	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/artery_coronary/QTS000015/normalised/leafcutter/leafcutter_metadata.txt.gz	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/artery_coronary/QTS000015/normalised/ge/per_million_normalised/GTEx.artery_coronary.scaling_factors.tsv.gz
QTD000145	QTS000015	leafcutter	artery_tibial	GTEx	/gpfs/helios/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r8/susie/QTS000015/QTD000145/QTD000145.credible_sets.parquet	/gpfs/helios/home/kerimov/alasoo_lab/SampleArcheology/studies/GTEx/v10_metadata/GTExV10_metadata_artery_tibial.tsv	/gpfs/helios/projects/GTEx/genotypes/GTEx_v10/GTEx_v9.MAF001.vcf.gz	/gpfs/helios/projects/eQTLCatalogue/coverage_parquet/GTEx_v10/artery_tibial.parquet	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/artery_tibial/QTS000015/normalised/leafcutter/qtl_group_split_norm/GTEx.artery_tibial.tsv.gz	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/artery_tibial/QTS000015/normalised/leafcutter/per_million_normalised/GTEx.artery_tibial.leafcutter_CPM_norm.tsv.gz	/gpfs/helios/home/kerimov/alasoo_lab/eqtl_plot_data_generator/input/GTEx_V10_all/sumstats_files/QTD000142_sumstats.tsv	/gpfs/helios/home/kerimov/alasoo_lab/eqtl_plot_data_generator/input/GTEx_V10_all/sumstats_files/QTD000145_sumstats.tsv	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/artery_tibial/QTS000015/normalised/leafcutter/leafcutter_metadata.txt.gz	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/artery_tibial/QTS000015/normalised/ge/per_million_normalised/GTEx.artery_tibial.scaling_factors.tsv.gz
QTD000150	QTS000015	leafcutter	brain_amygdala	GTEx	/gpfs/helios/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r8/susie/QTS000015/QTD000150/QTD000150.credible_sets.parquet	/gpfs/helios/home/kerimov/alasoo_lab/SampleArcheology/studies/GTEx/v10_metadata/GTExV10_metadata_amygdala.tsv	/gpfs/helios/projects/GTEx/genotypes/GTEx_v10/GTEx_v9.MAF001.vcf.gz	/gpfs/helios/projects/eQTLCatalogue/coverage_parquet/GTEx_v10/brain_amygdala.parquet	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/brain_amygdala/QTS000015/normalised/leafcutter/qtl_group_split_norm/GTEx.brain_amygdala.tsv.gz	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/brain_amygdala/QTS000015/normalised/leafcutter/per_million_normalised/GTEx.brain_amygdala.leafcutter_CPM_norm.tsv.gz	/gpfs/helios/home/kerimov/alasoo_lab/eqtl_plot_data_generator/input/GTEx_V10_all/sumstats_files/QTD000147_sumstats.tsv	/gpfs/helios/home/kerimov/alasoo_lab/eqtl_plot_data_generator/input/GTEx_V10_all/sumstats_files/QTD000150_sumstats.tsv	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/brain_amygdala/QTS000015/normalised/leafcutter/leafcutter_metadata.txt.gz	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/brain_amygdala/QTS000015/normalised/ge/per_million_normalised/GTEx.brain_amygdala.scaling_factors.tsv.gz
QTD000155	QTS000015	leafcutter	brain_anterior_cingulate_cortex	GTEx	/gpfs/helios/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r8/susie/QTS000015/QTD000155/QTD000155.credible_sets.parquet	/gpfs/helios/home/kerimov/alasoo_lab/SampleArcheology/studies/GTEx/v10_metadata/GTExV10_metadata_anterior_cingulate_cortex.tsv	/gpfs/helios/projects/GTEx/genotypes/GTEx_v10/GTEx_v9.MAF001.vcf.gz	/gpfs/helios/projects/eQTLCatalogue/coverage_parquet/GTEx_v10/brain_anterior_cingulate_cortex.parquet	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/brain_anterior_cingulate_cortex/QTS000015/normalised/leafcutter/qtl_group_split_norm/GTEx.brain_anterior_cingulate_cortex.tsv.gz	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/brain_anterior_cingulate_cortex/QTS000015/normalised/leafcutter/per_million_normalised/GTEx.brain_anterior_cingulate_cortex.leafcutter_CPM_norm.tsv.gz	/gpfs/helios/home/kerimov/alasoo_lab/eqtl_plot_data_generator/input/GTEx_V10_all/sumstats_files/QTD000152_sumstats.tsv	/gpfs/helios/home/kerimov/alasoo_lab/eqtl_plot_data_generator/input/GTEx_V10_all/sumstats_files/QTD000155_sumstats.tsv	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/brain_anterior_cingulate_cortex/QTS000015/normalised/leafcutter/leafcutter_metadata.txt.gz	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/brain_anterior_cingulate_cortex/QTS000015/normalised/ge/per_million_normalised/GTEx.brain_anterior_cingulate_cortex.scaling_factors.tsv.gz
QTD000160	QTS000015	leafcutter	brain_caudate	GTEx	/gpfs/helios/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r8/susie/QTS000015/QTD000160/QTD000160.credible_sets.parquet	/gpfs/helios/home/kerimov/alasoo_lab/SampleArcheology/studies/GTEx/v10_metadata/GTExV10_metadata_caudate.tsv	/gpfs/helios/projects/GTEx/genotypes/GTEx_v10/GTEx_v9.MAF001.vcf.gz	/gpfs/helios/projects/eQTLCatalogue/coverage_parquet/GTEx_v10/brain_caudate.parquet	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/brain_caudate/QTS000015/normalised/leafcutter/qtl_group_split_norm/GTEx.brain_caudate.tsv.gz	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/brain_caudate/QTS000015/normalised/leafcutter/per_million_normalised/GTEx.brain_caudate.leafcutter_CPM_norm.tsv.gz	/gpfs/helios/home/kerimov/alasoo_lab/eqtl_plot_data_generator/input/GTEx_V10_all/sumstats_files/QTD000157_sumstats.tsv	/gpfs/helios/home/kerimov/alasoo_lab/eqtl_plot_data_generator/input/GTEx_V10_all/sumstats_files/QTD000160_sumstats.tsv	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/brain_caudate/QTS000015/normalised/leafcutter/leafcutter_metadata.txt.gz	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/brain_caudate/QTS000015/normalised/ge/per_million_normalised/GTEx.brain_caudate.scaling_factors.tsv.gz
QTD000165	QTS000015	leafcutter	brain_cerebellar_hemisphere	GTEx	/gpfs/helios/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r8/susie/QTS000015/QTD000165/QTD000165.credible_sets.parquet	/gpfs/helios/home/kerimov/alasoo_lab/SampleArcheology/studies/GTEx/v10_metadata/GTExV10_metadata_cerebellar_hemisphere.tsv	/gpfs/helios/projects/GTEx/genotypes/GTEx_v10/GTEx_v9.MAF001.vcf.gz	/gpfs/helios/projects/eQTLCatalogue/coverage_parquet/GTEx_v10/brain_cerebellar_hemisphere.parquet	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/brain_cerebellar_hemisphere/QTS000015/normalised/leafcutter/qtl_group_split_norm/GTEx.brain_cerebellar_hemisphere.tsv.gz	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/brain_cerebellar_hemisphere/QTS000015/normalised/leafcutter/per_million_normalised/GTEx.brain_cerebellar_hemisphere.leafcutter_CPM_norm.tsv.gz	/gpfs/helios/home/kerimov/alasoo_lab/eqtl_plot_data_generator/input/GTEx_V10_all/sumstats_files/QTD000162_sumstats.tsv	/gpfs/helios/home/kerimov/alasoo_lab/eqtl_plot_data_generator/input/GTEx_V10_all/sumstats_files/QTD000165_sumstats.tsv	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/brain_cerebellar_hemisphere/QTS000015/normalised/leafcutter/leafcutter_metadata.txt.gz	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/brain_cerebellar_hemisphere/QTS000015/normalised/ge/per_million_normalised/GTEx.brain_cerebellar_hemisphere.scaling_factors.tsv.gz
QTD000170	QTS000015	leafcutter	brain_cerebellum	GTEx	/gpfs/helios/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r8/susie/QTS000015/QTD000170/QTD000170.credible_sets.parquet	/gpfs/helios/home/kerimov/alasoo_lab/SampleArcheology/studies/GTEx/v10_metadata/GTExV10_metadata_cerebellum.tsv	/gpfs/helios/projects/GTEx/genotypes/GTEx_v10/GTEx_v9.MAF001.vcf.gz	/gpfs/helios/projects/eQTLCatalogue/coverage_parquet/GTEx_v10/brain_cerebellum.parquet	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/brain_cerebellum/QTS000015/normalised/leafcutter/qtl_group_split_norm/GTEx.brain_cerebellum.tsv.gz	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/brain_cerebellum/QTS000015/normalised/leafcutter/per_million_normalised/GTEx.brain_cerebellum.leafcutter_CPM_norm.tsv.gz	/gpfs/helios/home/kerimov/alasoo_lab/eqtl_plot_data_generator/input/GTEx_V10_all/sumstats_files/QTD000167_sumstats.tsv	/gpfs/helios/home/kerimov/alasoo_lab/eqtl_plot_data_generator/input/GTEx_V10_all/sumstats_files/QTD000170_sumstats.tsv	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/brain_cerebellum/QTS000015/normalised/leafcutter/leafcutter_metadata.txt.gz	/gpfs/helios/projects/eQTLCatalogue/qcnorm2/QTS000015/brain_cerebellum/QTS000015/normalised/ge/per_million_normalised/GTEx.brain_cerebellum.scaling_factors.tsv.gz
